#X,#CH2
#Second,#Volt
2.20E-06,3.60E-01
2.30E-06,3.28E-01
2.40E-06,2.88E-01
2.50E-06,2.48E-01
2.60E-06,2.08E-01
2.70E-06,1.60E-01
2.80E-06,1.20E-01
2.90E-06,7.20E-02
3.00E-06,2.40E-02
3.10E-06,-2.40E-02
3.20E-06,-7.20E-02
3.30E-06,-1.20E-01
3.40E-06,-1.68E-01
3.50E-06,-2.08E-01
3.60E-06,-2.48E-01
3.70E-06,-2.88E-01
3.80E-06,-3.28E-01
3.90E-06,-3.60E-01
4.00E-06,-3.92E-01
4.10E-06,-4.24E-01
4.20E-06,-4.40E-01
4.30E-06,-4.64E-01
4.40E-06,-4.80E-01
4.50E-06,-4.88E-01
4.60E-06,-4.96E-01
4.70E-06,-5.04E-01
4.80E-06,-5.04E-01
4.90E-06,-4.96E-01
5.00E-06,-4.88E-01
5.10E-06,-4.72E-01
5.20E-06,-4.48E-01
5.30E-06,-4.24E-01
5.40E-06,-4.00E-01
5.50E-06,-3.68E-01
5.60E-06,-3.36E-01
5.70E-06,-2.96E-01
5.80E-06,-2.64E-01
5.90E-06,-2.16E-01
6.00E-06,-1.68E-01
6.10E-06,-1.28E-01
6.20E-06,-7.99E-02
6.30E-06,-3.20E-02
6.40E-06,1.60E-02
6.50E-06,6.40E-02
6.60E-06,1.12E-01
6.70E-06,1.60E-01
6.80E-06,2.00E-01
6.90E-06,2.40E-01
7.00E-06,2.88E-01
7.10E-06,3.28E-01
7.20E-06,3.60E-01
7.30E-06,3.92E-01
7.40E-06,4.16E-01
7.50E-06,4.48E-01
7.60E-06,4.64E-01
7.69E-06,4.80E-01
7.79E-06,4.96E-01
7.89E-06,5.04E-01
7.99E-06,5.04E-01
8.09E-06,5.04E-01
8.19E-06,5.04E-01
8.29E-06,4.96E-01
8.39E-06,4.80E-01
8.49E-06,4.64E-01
8.59E-06,4.40E-01
8.69E-06,4.16E-01
8.79E-06,3.84E-01
8.89E-06,3.52E-01
8.99E-06,3.12E-01
9.09E-06,2.80E-01
9.19E-06,2.32E-01
9.29E-06,1.92E-01
9.39E-06,1.52E-01
9.49E-06,1.04E-01
9.59E-06,5.60E-02
9.69E-06,8.00E-03
9.79E-06,-4.00E-02
9.89E-06,-8.79E-02
9.99E-06,-1.36E-01
1.01E-05,-1.76E-01
1.02E-05,-2.24E-01
1.03E-05,-2.64E-01
1.04E-05,-3.04E-01
1.05E-05,-3.36E-01
1.06E-05,-3.68E-01
1.07E-05,-4.00E-01
1.08E-05,-4.32E-01
1.09E-05,-4.48E-01
1.10E-05,-4.72E-01
1.11E-05,-4.80E-01
1.12E-05,-4.96E-01
1.13E-05,-5.04E-01
1.14E-05,-5.04E-01
1.15E-05,-4.96E-01
1.16E-05,-4.88E-01
1.17E-05,-4.80E-01
1.18E-05,-4.64E-01
1.19E-05,-4.40E-01
1.20E-05,-4.16E-01
1.21E-05,-3.84E-01
1.22E-05,-3.60E-01
1.23E-05,-3.20E-01
1.24E-05,-2.88E-01
1.25E-05,-2.48E-01
1.26E-05,-2.00E-01
1.27E-05,-1.52E-01
1.28E-05,-1.12E-01
1.29E-05,-6.40E-02
1.30E-05,-1.60E-02
1.31E-05,3.20E-02
1.32E-05,7.99E-02
1.33E-05,1.28E-01
1.34E-05,1.68E-01
1.35E-05,2.16E-01
1.36E-05,2.56E-01
1.37E-05,2.96E-01
1.38E-05,3.36E-01
1.39E-05,3.68E-01
1.40E-05,4.00E-01
1.41E-05,4.32E-01
1.42E-05,4.48E-01
1.43E-05,4.72E-01
1.44E-05,4.88E-01
1.45E-05,4.96E-01
1.46E-05,5.04E-01
1.47E-05,5.12E-01
1.48E-05,5.04E-01
1.49E-05,4.96E-01
1.50E-05,4.88E-01
1.51E-05,4.72E-01
1.52E-05,4.56E-01
1.53E-05,4.32E-01
1.54E-05,4.08E-01
1.55E-05,3.76E-01
1.56E-05,3.36E-01
1.57E-05,3.04E-01
1.58E-05,2.64E-01
1.59E-05,2.24E-01
1.60E-05,1.76E-01
1.61E-05,1.36E-01
1.62E-05,8.79E-02
1.63E-05,4.00E-02
1.64E-05,-8.00E-03
1.65E-05,-5.60E-02
1.66E-05,-1.04E-01
1.67E-05,-1.52E-01
1.68E-05,-1.92E-01
1.69E-05,-2.40E-01
1.70E-05,-2.80E-01
1.71E-05,-3.12E-01
