#X,#CH1
#Second,#Volt
2.43E-05,0.00E+00
2.44E-05,0.00E+00
2.45E-05,0.00E+00
2.46E-05,0.00E+00
2.47E-05,0.00E+00
2.48E-05,0.00E+00
2.49E-05,8.00E-03
2.50E-05,0.00E+00
2.51E-05,8.00E-03
2.52E-05,8.00E-03
2.53E-05,0.00E+00
2.54E-05,8.00E-03
2.55E-05,8.00E-03
2.56E-05,8.00E-03
2.57E-05,1.60E-02
2.58E-05,8.00E-03
2.59E-05,8.00E-03
2.60E-05,8.00E-03
2.61E-05,8.00E-03
2.62E-05,8.00E-03
2.63E-05,8.00E-03
2.64E-05,1.60E-02
2.65E-05,8.00E-03
2.66E-05,8.00E-03
2.67E-05,8.00E-03
2.68E-05,8.00E-03
2.69E-05,8.00E-03
2.70E-05,8.00E-03
2.71E-05,8.00E-03
2.72E-05,8.00E-03
2.73E-05,8.00E-03
2.74E-05,0.00E+00
2.75E-05,8.00E-03
2.76E-05,0.00E+00
2.77E-05,8.00E-03
2.78E-05,0.00E+00
2.79E-05,0.00E+00
2.80E-05,0.00E+00
2.81E-05,0.00E+00
2.82E-05,-8.00E-03
2.83E-05,0.00E+00
2.84E-05,-8.00E-03
2.85E-05,0.00E+00
2.86E-05,-8.00E-03
2.87E-05,-1.60E-02
2.88E-05,-8.00E-03
2.89E-05,-1.60E-02
2.90E-05,-8.00E-03
2.91E-05,-8.00E-03
2.92E-05,-1.60E-02
2.93E-05,-1.60E-02
2.94E-05,-1.60E-02
2.95E-05,-1.60E-02
2.96E-05,-1.60E-02
2.97E-05,-1.60E-02
2.98E-05,-1.60E-02
2.99E-05,-2.40E-02
3.00E-05,-2.40E-02
3.01E-05,-1.60E-02
3.02E-05,-2.40E-02
3.03E-05,-2.40E-02
3.04E-05,-2.40E-02
3.05E-05,-2.40E-02
3.06E-05,-2.40E-02
3.07E-05,-2.40E-02
