#  Vmag     Imag      dx       dy
 24.5980  22.6840   0.1700  -0.1200
 24.7190  22.8390  -0.1100  -0.1100
 22.8950  22.4590  -0.7000  -0.1700
 22.7290  21.2950  -0.1800   0.1200
 21.0950  20.0300  -0.1000   0.0800
 25.3180  23.2250  -0.0900  -0.0400
 25.5920  23.4440   0.2800   0.1300
 24.8110  24.2400  -0.4300  -0.2500
 23.9550  22.2850   0.0500  -0.0200
 23.8610  22.2190  -0.3000  -0.1500
 21.1430  20.0440  -0.0200  -0.0700
 28.6880  27.8760  -6.6600  -5.9200
 26.3820  24.1310   0.0500   0.0200
 25.3190  23.2320   0.0900  -0.1700
 23.3490  21.7380  -0.0300   0.0400
 22.1970  20.8080  -0.0200  -0.2000
 25.0980  23.1360   0.1100  -0.0400
 26.1600  23.7890   0.3000   0.1600
 22.7150  21.2160  -0.2100   0.3900
 24.6780  22.8590  -0.1600  -0.1600
 23.4890  21.8920   0.1200   0.1600
 25.2720  23.2580  -0.3600   0.4400
 21.8570  20.6240  -0.1900  -0.0500
 25.7830  23.5520  -0.1100   0.0700
 21.0910  19.9850  -0.0100  -0.1000
 22.4910  21.0680   0.1300  -0.0400
 24.7820  22.8680  -0.0400   0.1400
 26.9950  25.7930  -0.4400  -0.2900
 22.3110  20.9090  -0.2300   0.1400
 23.3500  21.6770   0.0200   0.0200
 25.5430  24.7400  -0.8100  -0.1600
 20.5440  19.6220  -0.1100  -0.1500
 24.4970  22.6730   0.1700   0.0100
 23.3150  21.6400  -0.1200   0.0800
 25.3250  23.3360   0.2300  -0.1300
 24.5040  22.6060  -0.0900  -0.0900
 28.7440  25.3530   0.3000   0.2000
 22.2060  20.8550  -0.2100   0.0600
 21.9730  20.6620   0.0200   0.0300
 23.6870  21.9910   0.0300   0.0000
 23.8310  22.1820  -0.1100   0.0400
 24.1300  22.3320   0.2700   0.2200
 24.5660  22.6310   0.1800   0.1000
 27.3270  26.3590  -0.3500  -0.3100
 28.1100  26.8100  -0.6700   0.1200
 22.9420  21.3770  -0.1200   0.1400
 28.3960  27.3490  -6.4600  -2.6300
 22.2520  20.8870   0.1100   0.0200
 23.7870  23.1810  -0.7000  -0.1500
 21.9850  20.6610  -0.1600  -0.1000
 22.8410  21.3020  -0.0200  -0.3200
 21.5130  20.2990  -0.1900  -0.2600
 22.8940  21.4340  -0.0400   0.0300
 25.8950  25.1440  -0.5200  -0.1900
