         8222702 function calls (7918045 primitive calls) in 51.092 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      160    0.024    0.000    2.538    0.016 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\axis.py:1075(_update_ticks)
13338/120    0.023    0.000    1.393    0.012 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\pyparsing.py:3732(parseImpl)
     8350    0.023    0.000    0.060    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:726(__init__)
      376    0.023    0.000    0.072    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:627(count_contains)
      836    0.022    0.000    0.022    0.000 {method 'get_glyph_name' of 'matplotlib.ft2font.FT2Font' objects}
   136555    0.022    0.000    0.022    0.000 {method 'pop' of 'dict' objects}
157801/152899    0.022    0.000    0.040    0.000 {built-in method builtins.hash}
   206687    0.022    0.000    0.022    0.000 {built-in method builtins.id}
      320    0.021    0.000    0.021    0.000 {built-in method nt.stat}
7676/7660    0.020    0.000    0.289    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:1377(transform)
     8096    0.020    0.000    0.103    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:1976(scale)
     5172    0.020    0.000    0.191    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\core\numeric.py:2431(isclose)
    39079    0.020    0.000    0.033    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\pyparsing.py:488(__new__)
    73208    0.020    0.000    0.091    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\pyparsing.py:1656(get)
    38885    0.020    0.000    0.021    0.000 {built-in method _abc._abc_instancecheck}
    14778    0.020    0.000    0.057    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:1819(__init__)
    14110    0.019    0.000    0.033    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:1112(_split_drawstyle_linestyle)
    16092    0.019    0.000    0.089    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\core\fromnumeric.py:54(_wrapfunc)
9404/8524    0.019    0.000    0.210    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\spines.py:487(get_spine_transform)
     1520    0.019    0.000    0.759    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\text.py:655(draw)
     1636    0.018    0.000    1.964    0.001 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\text.py:270(_get_layout)
     7588    0.018    0.000    0.026    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\font_manager.py:812(set_size)
    49812    0.018    0.000    0.110    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\core\numeric.py:469(asarray)
    35668    0.018    0.000    0.258    0.000 {built-in method builtins.next}
     6826    0.018    0.000    0.028    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\font_manager.py:660(__hash__)
    16686    0.017    0.000    0.059    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:126(invalidate)
    17155    0.017    0.000    0.056    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\contextlib.py:116(__exit__)
    43915    0.017    0.000    0.017    0.000 {built-in method __new__ of type object at 0x00007FFD1C3C4BA0}
    19138    0.017    0.000    0.017    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   119635    0.017    0.000    0.017    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:194(axes)
     5798    0.017    0.000    0.210    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\font_manager.py:1179(findfont)
     3953    0.016    0.000    0.135    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:1327(update_from)
     7568    0.016    0.000    0.021    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\font_manager.py:794(set_stretch)
    15158    0.016    0.000    0.034    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:656(set_figure)
     9274    0.016    0.000    0.045    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:2299(__init__)
     9012    0.016    0.000    0.047    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\core\fromnumeric.py:41(_wrapit)
     2212    0.016    0.000    0.227    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:692(set_clip_path)
    15750    0.016    0.000    0.139    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\core\fromnumeric.py:2083(any)
     2414    0.016    0.000    0.031    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:1914(rotate)
     5580    0.015    0.000    0.015    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:2867(_interval_contains_close)
    35152    0.015    0.000    0.015    0.000 {built-in method numpy.seterrobj}
    19593    0.015    0.000    0.026    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:1282(set_xdata)
    54462    0.015    0.000    0.015    0.000 {method 'popitem' of 'collections.OrderedDict' objects}
      384    0.015    0.000    0.398    0.001 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\ticker.py:2273(tick_values)
