         31398947 function calls (30938067 primitive calls) in 1084.706 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    87863    0.073    0.000    2.399    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\contextlib.py:107(__enter__)
    18859    0.072    0.000    0.320    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:1930(rotate_deg)
    61554    0.071    0.000    0.151    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:656(set_figure)
    49558    0.071    0.000    0.340    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\colors.py:149(to_rgba)
     9136    0.070    0.000    0.143    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:671(translated)
    13636    0.070    0.000    0.207    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\backend_bases.py:718(__init__)
    27000    0.070    0.000    0.790    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:1047(set)
   258456    0.069    0.000    0.069    0.000 {built-in method builtins.hasattr}
    82424    0.067    0.000    0.076    0.000 {built-in method _abc._abc_instancecheck}
    62554    0.067    0.000    0.590    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\core\fromnumeric.py:2083(any)
    31968    0.066    0.000    2.260    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\text.py:170(update)
   600300    0.066    0.000    0.066    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\path.py:211(codes)
   592782    0.065    0.000    0.065    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\path.py:230(simplify_threshold)
      150    0.065    0.000    0.860    0.006 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\collections.py:1348(<listcomp>)
3400/1900    0.065    0.000    0.803    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\offsetbox.py:423(get_extent_offsets)
    87863    0.064    0.000    2.004    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\contextlib.py:237(helper)
    56522    0.064    0.000    0.074    0.000 {built-in method builtins.max}
6300/5700    0.063    0.000    3.318    0.001 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\axis.py:842(reset_ticks)
   456918    0.062    0.000    0.062    0.000 {built-in method builtins.len}
   592782    0.062    0.000    0.062    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\path.py:251(should_simplify)
    33550    0.062    0.000    0.270    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:1962(translate)
    13677    0.061    0.000    0.063    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\stride_tricks.py:185(_broadcast_shape)
     2400    0.061    0.000    0.200    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\ticker.py:764(_set_format)
     5400    0.061    0.000    0.893    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\axis.py:332(_apply_params)
128556/82830    0.059    0.000    0.229    0.000 {built-in method builtins.hash}
  250/200    0.059    0.000    3.655    0.018 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\__init__.py:1586(inner)
    25186    0.059    0.000    0.074    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\font_manager.py:794(set_stretch)
     6000    0.059    0.000    0.204    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\ticker.py:1945(_validate_steps)
   270820    0.057    0.000    0.057    0.000 {method 'startswith' of 'str' objects}
     3900    0.057    0.000    0.230    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:1388(_substitute)
     6000    0.057    0.000    0.150    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:534(anchored)
     5400    0.056    0.000    0.077    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:2791(nonsingular)
    45757    0.056    0.000    0.056    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    28577    0.056    0.000    0.172    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:929(_update_property)
    11495    0.056    0.000    0.086    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:1026(update_from)
    26877    0.055    0.000    0.102    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:1398(set_dash_capstyle)
    17454    0.055    0.000    0.251    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\text.py:823(get_prop_tup)
     6000    0.054    0.000    0.064    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\function_base.py:1149(diff)
    83276    0.053    0.000    0.291    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\figure.py:49(_stale_figure_callback)
    59007    0.051    0.000    0.086    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:1282(set_xdata)
    11236    0.051    0.000    0.083    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\ticker.py:576(__call__)
      150    0.051    0.000    0.916    0.006 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\npyio.py:1041(read_data)
    78895    0.050    0.000    0.064    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\cbook\__init__.py:2017(<listcomp>)
    12450    0.050    0.000    0.093    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:1357(_register)
    11236    0.050    0.000    0.050    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:2867(_interval_contains_close)
    13677    0.050    0.000    0.172    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\stride_tricks.py:208(broadcast_arrays)
    60504    0.049    0.000    0.093    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:59(_scale_dashes)
    11636    0.048    0.000    0.048    0.000 {method 'round' of 'numpy.generic' objects}
    84816    0.047    0.000    0.090    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\font_manager.py:1233(<genexpr>)
    26877    0.047    0.000    0.095    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:1095(set_linewidth)
    49558    0.047    0.000    0.205    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\colors.py:115(_is_nth_color)
    52395    0.047    0.000    0.136    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:343(set_transform)
   113304    0.047    0.000    0.047    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
    83426    0.047    0.000    0.152    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\pyplot.py:572(_auto_draw_if_interactive)
    27190    0.046    0.000    0.123    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\text.py:809(get_unitless_position)
    15654    0.046    0.000    0.450    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:1377(transform)
       50    0.046    0.001    0.046    0.001 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\axes\_axes.py:3370(<listcomp>)
    26877    0.045    0.000    0.384    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:1241(set_markerfacecolor)
    48858    0.045    0.000    0.045    0.000 {method 'match' of 're.Pattern' objects}
    48933    0.045    0.000    0.066    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\re.py:271(_compile)
   387014    0.045    0.000    0.045    0.000 {built-in method builtins.id}
     7232    0.045    0.000    0.045    0.000 {method 'round' of 'numpy.ndarray' objects}
      300    0.045    0.000    0.050    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\linalg\linalg.py:486(inv)
    30068    0.044    0.000    0.242    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\core\fromnumeric.py:54(_wrapfunc)
    33904    0.044    0.000    0.977    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\markers.py:223(__init__)
    26422    0.044    0.000    0.140    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:1776(transform_affine)
    55718    0.044    0.000    0.415    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:1236(__add__)
