         9811367 function calls (9663333 primitive calls) in 344.576 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    28166    0.019    0.000    0.600    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\contextlib.py:237(helper)
2016/1824    0.019    0.000    1.007    0.001 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\axis.py:842(reset_ticks)
     4398    0.019    0.000    0.019    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\stride_tricks.py:185(_broadcast_shape)
    10736    0.019    0.000    0.082    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:1962(translate)
41380/26648    0.018    0.000    0.069    0.000 {built-in method builtins.hash}
   138859    0.018    0.000    0.018    0.000 {built-in method builtins.len}
       96    0.018    0.000    0.019    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\linalg\linalg.py:486(inv)
     8088    0.018    0.000    0.022    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\font_manager.py:794(set_stretch)
     1728    0.018    0.000    0.263    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\axis.py:332(_apply_params)
     1248    0.017    0.000    0.070    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:1388(_substitute)
     1920    0.017    0.000    0.061    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\ticker.py:1945(_validate_steps)
     8622    0.017    0.000    0.032    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:1398(set_dash_capstyle)
     1920    0.017    0.000    0.046    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:534(anchored)
    86882    0.017    0.000    0.017    0.000 {method 'startswith' of 'str' objects}
     3714    0.017    0.000    0.026    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:1026(update_from)
    14794    0.017    0.000    0.017    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1728    0.017    0.000    0.023    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\transforms.py:2791(nonsingular)
     9166    0.017    0.000    0.051    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\artist.py:929(_update_property)
      768    0.017    0.000    0.050    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\ticker.py:764(_set_format)
    26748    0.017    0.000    0.088    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\figure.py:49(_stale_figure_callback)
     5628    0.016    0.000    0.076    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\text.py:823(get_prop_tup)
   158284    0.016    0.000    0.016    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\path.py:230(simplify_threshold)
     1920    0.016    0.000    0.019    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\function_base.py:1149(diff)
       48    0.016    0.000    0.182    0.004 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\collections.py:1348(<listcomp>)
    18942    0.016    0.000    0.026    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:1282(set_xdata)
     4398    0.016    0.000    0.053    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\stride_tricks.py:208(broadcast_arrays)
     3752    0.016    0.000    0.016    0.000 {method 'round' of 'numpy.generic' objects}
   160704    0.015    0.000    0.015    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\path.py:211(codes)
       50    0.015    0.000    0.257    0.005 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\numpy\lib\npyio.py:1041(read_data)
    80/64    0.015    0.000    1.082    0.017 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\__init__.py:1586(inner)
     3624    0.015    0.000    0.025    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\ticker.py:576(__call__)
    19404    0.015    0.000    0.028    0.000 C:\Users\ryank\Desktop\Personal Files\Github\PythonCodes\EP3\Mobility and Carrier Density\venv\lib\site-packages\matplotlib\lines.py:59(_scale_dashes)
