X,CH1
Second,Volt,
-1.84e-03,8.80e-01
-1.84e-03,8.40e-01
-1.84e-03,9.00e-01
-1.83e-03,8.80e-01
-1.83e-03,8.80e-01
-1.82e-03,9.20e-01
-1.82e-03,8.80e-01
-1.82e-03,9.20e-01
-1.81e-03,9.40e-01
-1.81e-03,9.00e-01
-1.80e-03,9.60e-01
-1.80e-03,9.40e-01
-1.80e-03,9.60e-01
-1.79e-03,9.40e-01
-1.79e-03,9.60e-01
-1.78e-03,9.40e-01
-1.78e-03,9.40e-01
-1.78e-03,1.00e+00
-1.77e-03,9.80e-01
-1.77e-03,1.02e+00
-1.76e-03,1.00e+00
-1.76e-03,9.80e-01
-1.76e-03,1.00e+00
-1.75e-03,9.60e-01
-1.75e-03,9.60e-01
-1.74e-03,9.40e-01
-1.74e-03,1.00e+00
-1.74e-03,9.80e-01
-1.73e-03,9.40e-01
-1.73e-03,9.60e-01
-1.72e-03,9.80e-01
-1.72e-03,9.40e-01
-1.72e-03,9.60e-01
-1.71e-03,9.20e-01
-1.71e-03,9.40e-01
-1.70e-03,9.60e-01
-1.70e-03,9.40e-01
-1.70e-03,9.20e-01
-1.69e-03,9.20e-01
-1.69e-03,8.80e-01
-1.68e-03,8.80e-01
-1.68e-03,8.80e-01
-1.68e-03,9.00e-01
-1.67e-03,8.80e-01
-1.67e-03,8.60e-01
-1.66e-03,8.20e-01
-1.66e-03,8.20e-01
-1.66e-03,7.80e-01
-1.65e-03,8.00e-01
-1.65e-03,7.80e-01
-1.64e-03,7.60e-01
-1.64e-03,7.00e-01
-1.64e-03,7.00e-01
-1.63e-03,7.20e-01
-1.63e-03,6.60e-01
-1.62e-03,6.40e-01
-1.62e-03,7.00e-01
-1.62e-03,6.20e-01
-1.61e-03,6.20e-01
-1.61e-03,6.00e-01
-1.60e-03,5.80e-01
-1.60e-03,5.40e-01
-1.60e-03,5.00e-01
-1.59e-03,5.00e-01
-1.59e-03,4.80e-01
-1.58e-03,4.40e-01
-1.58e-03,4.20e-01
-1.58e-03,3.80e-01
-1.57e-03,3.80e-01
-1.57e-03,3.60e-01
-1.56e-03,3.60e-01
-1.56e-03,3.20e-01
-1.56e-03,2.80e-01
-1.55e-03,2.60e-01
-1.55e-03,2.60e-01
-1.54e-03,2.20e-01
-1.54e-03,2.20e-01
-1.54e-03,1.80e-01
-1.53e-03,1.40e-01
-1.53e-03,1.40e-01
-1.52e-03,1.20e-01
-1.52e-03,6.00e-02
-1.52e-03,6.00e-02
-1.51e-03,4.00e-02
-1.51e-03,0.00e+00
-1.50e-03,-2.00e-02
-1.50e-03,-4.00e-02
-1.50e-03,-7.99e-02
-1.49e-03,-1.20e-01
-1.49e-03,-1.60e-01
-1.48e-03,-1.20e-01
-1.48e-03,-1.40e-01
-1.48e-03,-1.60e-01
-1.47e-03,-2.00e-01
-1.47e-03,-2.20e-01
-1.46e-03,-2.60e-01
-1.46e-03,-2.80e-01
-1.46e-03,-3.20e-01
-1.45e-03,-3.40e-01
-1.45e-03,-3.60e-01
-1.44e-03,-3.80e-01
-1.44e-03,-4.00e-01
-1.44e-03,-4.20e-01
-1.43e-03,-4.60e-01
-1.43e-03,-4.60e-01
-1.42e-03,-5.00e-01
-1.42e-03,-5.40e-01
